Well,Component,Concentration,Volume [uL]
A1,MOPS[mM],2000.0,1540.0
B1,Tricine[mM],400.0,820.0
C1,H3BO3[mM],4.8,660.0
D1,Glucose[mM],3000.0,2970.0
A2,K2SO4[mM],60.0,960.0
B2,K2HPO4[mM],792.0,663.0
C2,NH4Cl[mM],1920.0,1049.0
D2,MgCl2[mM],156.0,705.0
A3,NaCl[mM],3750.0,9000.0
B3,(NH4)6Mo7O24[mM],0.036,672.0
C3,CoCl2[mM],0.36,647.0
D3,CuSO4[mM],0.36,617.0
A4,MnSO4[mM],0.96,648.0
B4,ZnSO4[mM],0.12,662.0
C4,CaCl2[mM],3.0,598.0
D4,Kan[g/L],15.0,240.0
A5,NaCl[mM],3750.0,9000.0
B5,NaCl[mM],3750.0,6895.0
